0 3 6
0 4 22
0 5 2
1 3 25
1 4 32
1 5 10
2 3 17
2 4 30
2 7 29
5 6 16
6 7 41
6 12 4
7 8 48
8 15 27
8 16 8
9 11 23
9 12 1
9 14 10
10 11 13
10 13 2
10 14 42
11 18 39
12 16 25
13 16 33
13 20 8
14 15 25
15 17 16
17 20 25
17 21 38
18 19 43
18 20 49
19 21 11
19 22 20
21 22 38
22 23 10
23 25 39
23 27 37
24 27 15
24 30 34
24 34 35
25 26 14
25 27 6
26 31 44
26 34 3
28 31 41
28 35 29
28 38 20
29 30 40
29 32 1
29 33 19
30 32 50
31 34 22
32 33 38
33 35 28
35 36 35
36 38 28
36 39 20
37 41 29
37 42 3
37 43 44
38 39 47
39 41 50
40 41 22
40 42 20
40 43 21
42 44 35
43 46 3
44 45 10
44 52 23
45 46 42
45 48 4
46 49 32
47 50 21
47 52 29
47 53 43
48 49 29
48 50 33
49 51 6
50 54 27
51 52 50
51 53 45
53 54 6
54 57 21
55 56 38
55 57 33
55 59 43
56 57 49
56 59 26
58 59 15
58 60 10
58 63 3
60 62 40
60 63 17
61 64 4
61 68 10
61 70 1
62 67 32
62 68 15
63 64 16
64 65 20
65 67 10
65 68 35
66 67 19
66 69 36
66 70 34
69 71 12
69 72 32
70 72 45
71 72 27
